Бенчмарк,Модель,N,Полнота,Эффективность,Читаемость,Expert Score,Эксперт 1,Эксперт 2
BIRD,Arctic-Text2SQL-R1-7B,10,4.85,4.85,4.9,4.867,4.9,4.833
BIRD,ChatGPT 5.2,10,4.45,4.45,4.5,4.467,4.4,4.533
BIRD,DeepSeek V3.2,10,4.7,4.65,4.75,4.7,4.733,4.667
BIRD,Defog-Llama3-SQLCoder-8B q4_0,10,4.9,4.4,4.4,4.567,4.533,4.6
BIRD,Hrida-T2SQL q8_0,10,4.3,4.65,4.45,4.467,4.433,4.5
Spider,Arctic-Text2SQL-R1-7B,10,4.8,5.0,4.8,4.867,4.867,4.867
Spider,ChatGPT 5.2,10,4.7,4.8,4.7,4.733,4.767,4.7
Spider,DeepSeek V3.2,10,4.8,4.75,4.8,4.783,4.8,4.767
Spider,Defog-Llama3-SQLCoder-8B q4_0,10,4.8,4.5,4.4,4.567,4.633,4.5
Spider,Hrida-T2SQL q8_0,10,5.0,4.85,4.8,4.883,4.9,4.867
