Модель,Бенчмарк,N,Execution Accuracy,"Время инференса, мс",Токены,"Стоимость, $",Eff,Eff normalized
ChatGPT 5.2,bird,1534,0.3657,2374.4675,1021.2171,0.0019,1018.7061,0.6127
DeepSeek V3.2,bird,1534,0.3227,3494.5106,1051.5183,0.0003,1363.8088,0.402
Defog-Llama3-SQLCoder-8B q4_0,bird,1534,0.2634,733.3158,974.1232,0.0,512.2317,0.1753
Hrida-T2SQL q8_0,bird,1534,0.1551,1081.1594,1440.4817,0.0,756.4924,0.3322
Arctic-Text2SQL-R1-7B,bird,1534,0.5385,6038.118,1335.3716,0.0,2212.0469,0.5689
ChatGPT 5.2,spider,1034,0.7427,1895.343,479.2563,0.0009,712.3802,0.2625
DeepSeek V3.2,spider,1034,0.7369,2965.6751,514.9168,0.0002,1044.1776,0.1871
Defog-Llama3-SQLCoder-8B q4_0,spider,1034,0.5629,531.0612,426.9159,0.0,287.3931,0.0025
Hrida-T2SQL q8_0,spider,1034,0.4913,485.6148,668.4507,0.0,346.2196,0.0715
Arctic-Text2SQL-R1-7B,spider,1034,0.7718,4854.238,734.6422,0.0,1676.664,0.3271
