Модель,Бенчмарк,Execution Accuracy,q05,q50,q95
Arctic-Text2SQL-R1-7B,BIRD,0.5385,0.515,0.5388,0.5593
Arctic-Text2SQL-R1-7B,Spider,0.7718,0.7495,0.7718,0.7921
ChatGPT 5.2,BIRD,0.3657,0.3468,0.3657,0.3853
ChatGPT 5.2,Spider,0.7427,0.7195,0.7427,0.765
DeepSeek V3.2,BIRD,0.3227,0.3031,0.3227,0.3422
DeepSeek V3.2,Spider,0.7369,0.7147,0.7369,0.7592
Defog-Llama3-SQLCoder-8B q4_0,BIRD,0.2634,0.2458,0.2634,0.2823
Defog-Llama3-SQLCoder-8B q4_0,Spider,0.5629,0.5387,0.5629,0.588
Hrida-T2SQL q8_0,BIRD,0.1551,0.1402,0.1551,0.1701
Hrida-T2SQL q8_0,Spider,0.4913,0.4652,0.4913,0.5155
