Модель,Бенчмарк,N,Execution Accuracy,Pass@1,Pass@3,Pass@5,"Время инференса, мс",Токены,"Стоимость, $"
ChatGPT 5.2,bird,1534,0.2868,0.2875,0.3524,0.3735,2186.9951,1020.6653,0.0019
DeepSeek V3.2,bird,1534,0.3175,0.3201,0.3482,0.3611,2950.7056,1051.6192,0.0003
Arctic-Text2SQL-R1-7B,bird,1534,0.2132,0.2116,0.2253,0.2347,1937.2883,1071.0722,0.0
Defog-Llama3-SQLCoder-8B q4_0,bird,1534,0.1258,0.1279,0.1456,0.1571,1625.6853,1010.0583,0.0
Hrida-T2SQL q8_0,bird,1534,0.0378,0.0342,0.0375,0.0404,1344.5231,1403.7138,0.0
ChatGPT 5.2,spider,1034,0.7418,0.7424,0.7637,0.7718,1988.8856,479.0157,0.0009
DeepSeek V3.2,spider,1034,0.7379,0.7395,0.7619,0.7698,2284.4739,514.8803,0.0001
Arctic-Text2SQL-R1-7B,spider,1034,0.5522,0.5538,0.575,0.589,1494.257,554.7801,0.0
Defog-Llama3-SQLCoder-8B q4_0,spider,1034,0.4323,0.43,0.4683,0.4942,1235.2643,483.0476,0.0
Hrida-T2SQL q8_0,spider,1034,0.3414,0.3468,0.3656,0.3772,704.045,720.3383,0.0
