sample_id,model_name,benchmark,completeness,efficiency,readability
bird_0,DeepSeek-V3.2,bird,,,
bird_1,DeepSeek-V3.2,bird,,,
bird_2,DeepSeek-V3.2,bird,,,
bird_3,DeepSeek-V3.2,bird,,,
bird_4,DeepSeek-V3.2,bird,,,
bird_5,DeepSeek-V3.2,bird,,,
bird_6,DeepSeek-V3.2,bird,,,
bird_7,DeepSeek-V3.2,bird,,,
bird_8,DeepSeek-V3.2,bird,,,
bird_9,DeepSeek-V3.2,bird,,,
bird_10,DeepSeek-V3.2,bird,,,
bird_11,DeepSeek-V3.2,bird,,,
bird_12,DeepSeek-V3.2,bird,,,
bird_13,DeepSeek-V3.2,bird,,,
bird_14,DeepSeek-V3.2,bird,,,
bird_15,DeepSeek-V3.2,bird,,,
bird_16,DeepSeek-V3.2,bird,,,
bird_17,DeepSeek-V3.2,bird,,,
bird_18,DeepSeek-V3.2,bird,,,
bird_19,DeepSeek-V3.2,bird,,,
bird_20,DeepSeek-V3.2,bird,,,
bird_21,DeepSeek-V3.2,bird,,,
bird_22,DeepSeek-V3.2,bird,,,
bird_23,DeepSeek-V3.2,bird,,,
bird_24,DeepSeek-V3.2,bird,,,
bird_25,DeepSeek-V3.2,bird,,,
bird_26,DeepSeek-V3.2,bird,,,
bird_27,DeepSeek-V3.2,bird,,,
bird_28,DeepSeek-V3.2,bird,,,
bird_29,DeepSeek-V3.2,bird,,,
bird_30,DeepSeek-V3.2,bird,,,
bird_31,DeepSeek-V3.2,bird,,,
bird_32,DeepSeek-V3.2,bird,,,
bird_33,DeepSeek-V3.2,bird,,,
bird_34,DeepSeek-V3.2,bird,,,
bird_35,DeepSeek-V3.2,bird,,,
bird_36,DeepSeek-V3.2,bird,,,
bird_37,DeepSeek-V3.2,bird,,,
bird_38,DeepSeek-V3.2,bird,,,
bird_39,DeepSeek-V3.2,bird,,,
bird_40,DeepSeek-V3.2,bird,,,
bird_41,DeepSeek-V3.2,bird,,,
bird_42,DeepSeek-V3.2,bird,,,
bird_43,DeepSeek-V3.2,bird,,,
bird_44,DeepSeek-V3.2,bird,,,
bird_45,DeepSeek-V3.2,bird,,,
bird_46,DeepSeek-V3.2,bird,,,
bird_47,DeepSeek-V3.2,bird,,,
