sample_id,model_name,benchmark,completeness,efficiency,readability
bird_10,Arctic-Text2SQL-R1-7B,bird,,,
bird_2,Arctic-Text2SQL-R1-7B,bird,,,
bird_12,Arctic-Text2SQL-R1-7B,bird,,,
bird_0,Arctic-Text2SQL-R1-7B,bird,,,
bird_8,Arctic-Text2SQL-R1-7B,bird,,,
bird_21,Arctic-Text2SQL-R1-7B,bird,,,
bird_3,Arctic-Text2SQL-R1-7B,bird,,,
bird_9,Arctic-Text2SQL-R1-7B,bird,,,
bird_24,Arctic-Text2SQL-R1-7B,bird,,,
bird_11,Arctic-Text2SQL-R1-7B,bird,,,
bird_29,Arctic-Text2SQL-R1-7B,bird,,,
bird_22,Arctic-Text2SQL-R1-7B,bird,,,
bird_25,Arctic-Text2SQL-R1-7B,bird,,,
bird_26,Arctic-Text2SQL-R1-7B,bird,,,
bird_18,Arctic-Text2SQL-R1-7B,bird,,,
bird_7,Arctic-Text2SQL-R1-7B,bird,,,
bird_1,Arctic-Text2SQL-R1-7B,bird,,,
bird_15,Arctic-Text2SQL-R1-7B,bird,,,
bird_16,Arctic-Text2SQL-R1-7B,bird,,,
bird_17,Arctic-Text2SQL-R1-7B,bird,,,
bird_20,Arctic-Text2SQL-R1-7B,bird,,,
bird_31,Arctic-Text2SQL-R1-7B,bird,,,
bird_36,Arctic-Text2SQL-R1-7B,bird,,,
bird_13,Arctic-Text2SQL-R1-7B,bird,,,
bird_42,Arctic-Text2SQL-R1-7B,bird,,,
bird_5,Arctic-Text2SQL-R1-7B,bird,,,
bird_35,Arctic-Text2SQL-R1-7B,bird,,,
bird_44,Arctic-Text2SQL-R1-7B,bird,,,
bird_19,Arctic-Text2SQL-R1-7B,bird,,,
bird_34,Arctic-Text2SQL-R1-7B,bird,,,
bird_6,Arctic-Text2SQL-R1-7B,bird,,,
bird_37,Arctic-Text2SQL-R1-7B,bird,,,
bird_41,Arctic-Text2SQL-R1-7B,bird,,,
bird_32,Arctic-Text2SQL-R1-7B,bird,,,
bird_43,Arctic-Text2SQL-R1-7B,bird,,,
bird_38,Arctic-Text2SQL-R1-7B,bird,,,
bird_46,Arctic-Text2SQL-R1-7B,bird,,,
bird_4,Arctic-Text2SQL-R1-7B,bird,,,
bird_48,Arctic-Text2SQL-R1-7B,bird,,,
bird_28,Arctic-Text2SQL-R1-7B,bird,,,
bird_40,Arctic-Text2SQL-R1-7B,bird,,,
bird_14,Arctic-Text2SQL-R1-7B,bird,,,
bird_47,Arctic-Text2SQL-R1-7B,bird,,,
bird_33,Arctic-Text2SQL-R1-7B,bird,,,
bird_30,Arctic-Text2SQL-R1-7B,bird,,,
bird_39,Arctic-Text2SQL-R1-7B,bird,,,
