Cost,Cost_norm,Eff,Eff_normalized,Mem,Mem_norm,Tinf,Tinf_norm,Tok,Tok_norm,benchmark,execution_accuracy,model_name,n_samples,pass@1,pass@10,pass@5,run_label
0.0,0.0,,,,,1666.11365544,0.27469284057700605,1194.72,0.6886714300507404,bird,0.22,Arctic-Text2SQL-R1-7B,50,0.22,0.22,0.22,ea
0.0,0.0,,,,,1434.2880783800001,0.19135463262461447,454.32,0.049756653204929044,spider,0.82,Arctic-Text2SQL-R1-7B,50,0.82,0.82,0.82,ea
0.0021767,1.0,,,,,2588.1861417398613,0.6061656210396564,1136.7,0.638604121362742,bird,0.42,ChatGPT,50,0.42,0.42,0.42,ea
0.000853175,0.3919580098313961,,,,,1804.2924149596365,0.32436626462922175,396.66,0.0,spider,0.82,ChatGPT,50,0.82,0.82,0.82,ea
0.00033427800000000003,0.15357100197546744,,,,,3683.7326433001726,1.0,1157.36,0.6564322943633287,bird,0.28,DeepSeek,50,0.28,0.28,0.28,ea
0.00012512920000000001,0.0574857352873616,,,,,2672.388558899547,0.6364352687650744,426.96,0.02614683649166404,spider,0.8,DeepSeek,50,0.8,0.8,0.8,ea
0.0,0.0,,,,,2141.54659288,0.4456046506985286,1150.1,0.6501674087880983,bird,0.04,Defog-Llama3-SQLCoder-8B,50,0.04,0.04,0.04,ea
0.0,0.0,,,,,1348.39096868,0.16047576549756198,403.8,0.0061613337475406324,spider,0.62,Defog-Llama3-SQLCoder-8B,50,0.62,0.62,0.62,ea
0.0,0.0,,,,,1272.1564055,0.1330704551775093,1555.5,1.0,bird,0.02,Hrida-T2SQL,50,0.02,0.02,0.02,ea
0.0,0.0,,,,,901.9884379,0.0,612.24,0.18603085844465156,spider,0.48,Hrida-T2SQL,50,0.48,0.48,0.48,ea
