sample_id,model_name,model_display_name,benchmark,completeness,efficiency,readability
HumanEval/143,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/144,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/145,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/146,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/147,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/148,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/149,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/15,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/150,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/151,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/152,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/153,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/154,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/155,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/156,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/157,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/158,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/159,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/16,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/160,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/161,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/162,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/163,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/17,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/18,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/19,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/2,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/20,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/21,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/22,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/23,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/24,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/25,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/26,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/27,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/28,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/29,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/3,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/30,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/31,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/32,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/33,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/34,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/35,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/36,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/37,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/38,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/39,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/4,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/40,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/41,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/42,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/43,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/44,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/45,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/46,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/47,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/48,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/49,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/5,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/50,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/51,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/52,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/53,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/54,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/55,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/56,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/57,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/58,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/59,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/6,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/60,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/61,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/62,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/63,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/64,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/65,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/66,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/67,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/68,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/69,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/7,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/70,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/71,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/72,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/73,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/74,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/75,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/76,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/0,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/1,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/10,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/100,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/101,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/102,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/103,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/104,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/105,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/106,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/107,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/108,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/109,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/11,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/110,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/111,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/112,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/113,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/114,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/115,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/116,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/117,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/118,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/119,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/12,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/120,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/121,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/122,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/123,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/124,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/125,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/126,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/127,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/128,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/129,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/13,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/130,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/131,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/132,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/133,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/134,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/135,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/136,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/137,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/138,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/139,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/14,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/140,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/141,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/142,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/77,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/78,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/79,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/8,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/80,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/81,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/82,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/83,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/84,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/85,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/86,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/87,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/88,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/89,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/9,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/90,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/91,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/92,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/93,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/94,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/95,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/96,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/97,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/98,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
HumanEval/99,ChatGPT,ChatGPT 5.2,humaneval_plus,,,
Mbpp/100,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/101,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/102,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/103,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/104,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/105,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/106,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/108,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/109,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/11,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/111,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/113,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/116,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/118,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/119,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/12,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/120,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/123,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/124,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/125,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/126,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/127,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/128,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/129,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/130,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/131,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/132,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/133,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/135,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/137,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/138,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/139,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/14,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/140,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/141,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/142,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/145,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/16,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/160,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/161,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/162,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/165,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/166,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/167,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/168,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/17,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/170,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/171,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/172,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/18,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/19,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/2,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/20,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/222,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
