model_name,model_display_name,model_version,benchmark,run_label,n_samples,functional_correctness,functional_correctness_ci_low,functional_correctness_ci_high,functional_correctness_q05,functional_correctness_q50,functional_correctness_q95,pass@1,pass@1_ci_low,pass@1_ci_high,pass@1_q05,pass@1_q50,pass@1_q95,pass@5,pass@5_ci_low,pass@5_ci_high,pass@5_q05,pass@5_q50,pass@5_q95,pass@10,pass@10_ci_low,pass@10_ci_high,pass@10_q05,pass@10_q50,pass@10_q95,Tinf,Mem,Tok,Cost,Eff,_weights,Tinf_q05,Tinf_q50,Tinf_q95,Tok_q05,Tok_q50,Tok_q95,Cost_q05,Cost_q50,Cost_q95,Mem_q05,Mem_q50,Mem_q95,Tinf_norm,Mem_norm,Tok_norm,Cost_norm,Eff_normalized
ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,164,0.9024390243902439,0.8474034299364586,0.9390530327722948,0.8597560975609756,0.9024390243902439,0.9390243902439024,0.9024390243902439,0.8536585365853658,0.9451219512195121,0.8658536585365854,0.9024390243902439,0.9390243902439024,0.9024390243902439,0.8536585365853658,0.9451219512195121,0.8597560975609756,0.9024390243902439,0.9390243902439024,0.9024390243902439,0.8536585365853658,0.9451219512195121,0.8655487804878049,0.9024390243902439,0.9390243902439024,3042.1953187986264,,373.2865853658537,0.001522263719512195,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",1555.7871041497492,2651.5494829982345,4989.231782949901,221.15,336.0,589.3499999999999,0.000692875,0.001291875,0.0026269374999999986,,,,0.15364693886315936,,0.766398857400643,1.0,
ChatGPT,ChatGPT 5.2,5.2,mbpp_plus,fc,378,0.7936507936507936,0.7499988599106394,0.8313942677126426,0.7617724867724868,0.7936507936507936,0.8253968253968254,0.7936507936507936,0.7539021164021165,0.8359788359788359,0.7592592592592593,0.7936507936507936,0.828042328042328,0.7936507936507936,0.753968253968254,0.8359788359788359,0.7592592592592593,0.7962962962962963,0.8306878306878307,0.7936507936507936,0.7513227513227513,0.8306878306878307,0.7592592592592593,0.7936507936507936,0.8253968253968254,2828.106882396569,,267.1005291005291,0.001153366402116402,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",1530.914138245862,2413.969913497567,5875.711989053524,161.0,244.0,442.64999999999975,0.0005019374999999999,0.000956875,0.002406062499999999,,,,0.13957258236404366,,0.14721313628059604,0.7576653028858856,
Claude,Claude Sonnet 4.5,Sonnet 4.5,humaneval_plus,fc,164,0.9207317073170732,0.8691122258339312,0.9530922579070382,0.8902439024390244,0.9207317073170732,0.9512195121951219,0.9207317073170732,0.8778963414634148,0.9573170731707317,0.8841463414634146,0.9207317073170732,0.9512195121951219,0.9207317073170732,0.8780487804878049,0.9573170731707317,0.8841463414634146,0.9207317073170732,0.9512195121951219,0.9207317073170732,0.8780487804878049,0.9634146341463414,0.8841463414634146,0.9207317073170732,0.9512195121951219,705.0346179706295,,405.2865853658537,0.0013164786585365853,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",705.0346179706295,705.0346179706295,705.0346179706295,261.15,374.0,601.7,0.000701175,0.0012225,0.002228775,,,,0.0,,0.9529953256443912,0.8648164189043716,
Claude,Claude Sonnet 4.5,Sonnet 4.5,mbpp_plus,fc,378,0.8148148148148148,0.7725573426775343,0.8507379923420202,0.7829365079365079,0.8148148148148148,0.843915343915344,0.8148148148148148,0.7751322751322751,0.854563492063492,0.7804232804232805,0.8148148148148148,0.8465608465608465,0.8148148148148148,0.7777777777777778,0.8544973544973545,0.7829365079365079,0.8148148148148148,0.8492063492063492,0.8148148148148148,0.7724867724867724,0.8518518518518519,0.7802910052910054,0.8148148148148148,0.8465608465608465,797.6137090612341,,293.537037037037,0.0010170992063492064,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",797.6137090612341,797.6137090612341,797.6137090612341,186.7,269.5,467.44999999999993,0.00048705000000000005,0.00089025,0.0018758999999999998,,,,0.006086228449659285,,0.3013681054571646,0.6681491474257384,
DeepSeek-Coder-V2-Lite,DeepSeek-Coder-V2-Lite 16B Q4_0,16B Lite Instruct Q4_0,humaneval_plus,fc,164,0.7073170731707317,0.63357457650857,0.7715696618565454,0.6463414634146342,0.7073170731707317,0.7682926829268293,0.7073170731707317,0.6402439024390244,0.774390243902439,0.6463414634146342,0.7073170731707317,0.7621951219512195,0.7073170731707317,0.6402439024390244,0.7804878048780488,0.6524390243902439,0.7073170731707317,0.7682926829268293,0.7073170731707317,0.6402439024390244,0.774390243902439,0.6463414634146342,0.7073170731707317,0.7682926829268293,5880.316407908536,,413.3475609756098,0.0,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",1570.8056993999999,4352.8395685,16725.498643749997,246.15,385.5,666.7,0.0,0.0,0.0,,,,0.34022744114108383,,1.0,0.0,
DeepSeek-Coder-V2-Lite,DeepSeek-Coder-V2-Lite 16B Q4_0,16B Lite Instruct Q4_0,mbpp_plus,fc,378,0.716931216931217,0.6695114512228083,0.7599861745889857,0.6798941798941799,0.716931216931217,0.753968253968254,0.716931216931217,0.6693121693121693,0.7592592592592593,0.6772486772486772,0.716931216931217,0.7513227513227513,0.716931216931217,0.671957671957672,0.7619708994708994,0.6772486772486772,0.716931216931217,0.7541005291005289,0.716931216931217,0.6693121693121693,0.7592592592592593,0.6772486772486772,0.716931216931217,0.7513227513227513,3875.5915640238095,,287.0449735449736,0.0,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",1231.74092435,2766.2436505,9534.111657349997,185.0,267.0,459.15,0.0,0.0,0.0,,,,0.20843511919390675,,0.2635119767311267,0.0,
DeepSeek,DeepSeek V3.2,V3.2,humaneval_plus,fc,164,0.8963414634146342,0.8402719638865523,0.9342684918114623,0.8536585365853658,0.8963414634146342,0.9329268292682927,0.8963414634146342,0.8475609756097561,0.9390243902439024,0.8536585365853658,0.8963414634146342,0.9329268292682927,0.8963414634146342,0.847408536585366,0.9390243902439024,0.8536585365853658,0.8963414634146342,0.9329268292682927,0.8963414634146342,0.8475609756097561,0.9390243902439024,0.8597560975609756,0.8963414634146342,0.9329268292682927,3169.9441626707726,,370.7134146341463,0.00011998939024390244,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",1694.2968675508382,2949.338115500723,4963.353964001543,250.15,348.0,544.85,8.032500000000001e-05,0.00011249,0.000174433,,,,0.16204525687240415,,0.7513943395654936,0.07882299808232485,
DeepSeek,DeepSeek V3.2,V3.2,mbpp_plus,fc,378,0.8095238095238095,0.7669010026132201,0.8459187805572663,0.7776455026455027,0.8095238095238095,0.8412698412698413,0.8095238095238095,0.7724867724867724,0.8492063492063492,0.7777777777777778,0.8095238095238095,0.843915343915344,0.8095238095238095,0.7698412698412699,0.8492063492063492,0.7777777777777778,0.8095238095238095,0.8412698412698413,0.8095238095238095,0.7645502645502645,0.8465608465608465,0.7751322751322751,0.8095238095238095,0.8412698412698413,3435.222868842261,,266.56613756613757,8.734111111111112e-05,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",1825.909717992181,3140.8294849970844,6158.715755594309,158.85,245.5,419.5999999999999,4.9399e-05,7.959e-05,0.00014564899999999997,,,,0.17948490538882356,,0.1440970246250704,0.05737580814124593,
Qwen2.5-Coder-14B,Qwen2.5-Coder-14B Instruct,14B Instruct,humaneval_plus,fc,164,0.8292682926829268,0.7643105101389711,0.8791538684409179,0.774390243902439,0.8292682926829268,0.8780487804878049,0.8292682926829268,0.774390243902439,0.8841463414634146,0.7804878048780488,0.8292682926829268,0.8780487804878049,0.8292682926829268,0.7682926829268293,0.8841463414634146,0.7804878048780488,0.8292682926829268,0.8780487804878049,0.8292682926829268,0.774390243902439,0.8842987804878047,0.7804878048780488,0.8292682926829268,0.8780487804878049,15916.276170329269,,393.2439024390244,0.0,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",4666.97610095,13256.5211605,35123.5728473,256.6,366.5,580.7499999999999,0.0,0.0,0.0,,,,1.0,,0.8827727599467152,0.0,
Qwen2.5-Coder-14B,Qwen2.5-Coder-14B Instruct,14B Instruct,mbpp_plus,fc,378,0.7433862433862434,0.6970612823281216,0.7848141027290131,0.7088624338624339,0.7433862433862434,0.7777777777777778,0.7433862433862434,0.6984126984126984,0.7857142857142857,0.7063492063492064,0.7433862433862434,0.7804232804232805,0.7433862433862434,0.7009920634920636,0.7883597883597884,0.7063492063492064,0.7433862433862434,0.783068783068783,0.7433862433862434,0.6984126984126984,0.7883597883597884,0.7062169312169313,0.7433862433862434,0.7804232804232805,7028.740031420635,,259.05555555555554,0.0,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",2018.3339305,5256.479503500001,18338.381571399997,172.85,245.0,410.44999999999993,0.0,0.0,0.0,,,,0.4157257901456084,,0.10030177219914428,0.0,
