Cost,Cost_norm,Eff,Eff_normalized,Mem,Mem_norm,Tinf,Tinf_norm,Tok,Tok_norm,benchmark,execution_accuracy,model_name,n_samples,pass@1,pass@3,pass@5,run_label
0.0,0.0,,,,,1377.79057365,0.18154914883383333,1161.35,0.6891138121546961,bird,0.2,Arctic-Text2SQL-R1-7B,100,0.2,0.2,0.2,ea
0.0,0.0,,,,,1408.98038376,0.19178796337278892,440.68,0.0520574585635359,spider,0.67,Arctic-Text2SQL-R1-7B,100,0.67,0.67,0.67,ea
0.0021466625,1.0,,,,,2676.2996218097396,0.6078163583607239,1110.15,0.6438541436464089,bird,0.31,ChatGPT,100,0.31,0.31,0.31,ea
0.0008618874999999999,0.4015011675100301,,,,,2095.6727174896514,0.4172114406425736,381.79,0.0,spider,0.8,ChatGPT,100,0.8,0.8,0.8,ea
0.00032670820000000006,0.15219355627631267,,,,,3870.9821960899717,1.0,1129.82,0.6612419889502762,bird,0.22,DeepSeek,100,0.22,0.22,0.22,ea
0.000122731,0.05717293705927225,,,,,2986.820348200199,0.7097523469672824,415.5,0.02979889502762429,spider,0.78,DeepSeek,100,0.78,0.78,0.78,ea
0.0,0.0,,,,,2137.48961358,0.4309388548895292,1120.8,0.6532685082872928,bird,0.04,Defog-Llama3-SQLCoder-8B,100,0.04,0.04,0.04,ea
0.0,0.0,,,,,1374.81286666,0.1805716440168936,386.99,0.004596685082872918,spider,0.5,Defog-Llama3-SQLCoder-8B,100,0.5,0.5,0.5,ea
0.0,0.0,,,,,1015.7546622899999,0.06270204653395985,1513.04,1.0,bird,0.01,Hrida-T2SQL,100,0.01,0.01,0.01,ea
0.0,0.0,,,,,824.74964726,0.0,586.32,0.18080000000000002,spider,0.43,Hrida-T2SQL,100,0.43,0.43,0.43,ea
